Three Kernels Decoction,Armeniacae Semen Amarum; Talcum; Tetrapanacis Medulla; Amomi Fructus Rotundus; Lophatheri Herba; Magnoliae Officinalis Cortex; Coicis Semen; Pinelliae Rhizoma,"Disperses and diffuses qi movement, clears and removes damp-heat.","San Ren Tang is indicated for the pattern of more dampness than heat in the early stage of damp-warmth and summerheat-warmth with dampness. The symptoms are headache, aversion to cold, heavy body, general pain, fatigue, a light yellow complexion, chest distress without hunger, afternoon fever, and no thirst. The tongue coating is white and the pulse is wiry, thin, and soggy."
Major Wind-Stabilizing Pill,Paeoniae Radix Alba; Asini Corii Colla; Testudinis Carapax et Plastrum; Rehmanniae Radix; Cannabis Fructus; Schisandrae Chinensis Fructus; Ostreae Concha; Ophiopogonis Radix; Glycyrrhizae Radix et Rhizoma; Egg Yolk; Trionycis Carapax,Enriches yin and extinguishes wind.,"Da Ding Feng Zhu is indicated for a pattern of stirring of wind due to yin deficiency. The symptoms are clonic convulsions of the extremities, weak physique, lassitude of the spirit, a deep red tongue body with a scanty tongue coating, and a weak pulse; patients have a strong tendency of desertion."
Major Purgative Decoction,Rhei Radix et Rhizoma; Magnoliae Officinalis Cortex; Aurantii Fructus Immaturus; Natrii Sulfas,Drastically purges heat accumulation.,"1. Excess heat in the yangming fu-organs. The symptoms are constipation with frequent flatulence, gastric stuffiness and abdominal fullness, abdominal pain that feels worse with pressure, and the abdomen is tense and firm when pressed. In severe cases, there may be tidal fever, delirious speech, and profuse sweating from the palms and soles. The tongue coating is dry and yellow with prickles, or dry and parched black with cracks. The pulse is deep and excessive.2. Heat retention with watery discharge. The symptoms are watery green, foul-smelling diarrhea, umbilical and abdominal pain, hardness with clumps felt when pressing the abdomen, and a dry mouth and tongue. The pulse is slippery and excessive.3. Internal excess heat. The symptoms are heat inversion (heat syncope), convulsive disease, and mania."
Major Bupleurum Decoction,Bupleuri Radix; Scutellariae Radix; Paeoniae Radix Alba; Pinelliae Rhizoma; Zingiberis Rhizoma Recens; Aurantii Fructus Immaturus; Jujubae Fructus; Rhei Radix et Rhizoma,Harmonizes shaoyang and drains interior heat bind.,"This formula treats a combined shaoyang-yangming pattern characterized by alternating chills and fever, fullness and discomfort in the chest and rib-side, frequent vomiting, constant vexation, epigastric pi and hardness or epigastric fullness and pain, constipation or diarrhea with fever, a yellow tongue coating, and a powerful wiry, rapid pulse."
Large Gentian Decoction,Gentianae Macrophyllae Radix; Glycyrrhizae Radix et Rhizoma; Chuanxiong Rhizoma; Angelicae Sinensis Radix; Paeoniae Radix Alba; Asari Radix et Rhizoma; Notopterygii Rhizoma et Radix; Saposhnikoviae Radix; Scutellariae Radix; Gypsum Fibrosum; Angelicae Dahuricae Radix; Atractylodis Macrocephalae Rhizoma; Rehmanniae Radix; Rehmanniae Radix; Poria; Angelicae Pubescentis Radix,"Scatters wind and clears heat, nourishes and invigorates blood.","Da Qin Jiao Tang is indicated for an early stage of a wind attacking the channels and collaterals pattern. The symptoms are deviation of the eyes and mouth, difficulty in speaking due to stiff tongue, an inability to move the extremities, often accompanied by aversion to cold with fever, spasms and tension of the extremities, a white or yellow tongue coating, and a superficial, rapid pulse or wiry, thin pulse."
Major Chest Draining Decoction,Rhei Radix et Rhizoma; Natrii Sulfas; Kansui Radix,Drains heat and expels water through purgation.,"Da Xian Xiong Tang is indicated for thoracic accumulation caused by the binding of water and heat. The symptoms are pain that refuses pressure below heart, hardness in the diseased location, or there is a full, hard, and painful region below the heart and above the lesser abdomen and touching is not tolerated. Other accompanying symptoms are shortness of breath, vexation, constipation, and mild tidal fever in the afternoon. The tongue is red with a yellow greasy or watery coating, and the pulse is deep and tight or deep, slow, and powerful."
Rhubarb and Cortex Moutan Decoction,Rhei Radix et Rhizoma; Moutan Cortex; Persicae Semen; Benincasae Semen; Natrii Sulfas,"Drains heat, breaks up stasis, dissipates masses, and relieves swollen sores.","Da Huang Mu Dan Tang is indicated for the initial stage of intestinal abscess caused by the stagnation of dampness, heat, and blood stasis. The symptoms are pain which refuses pressure in the right lesser abdomen (lateral aspects of the lower abdomen), pain that can be as severe as strangury or even accompanied with swollen mass in the right lesser abdomen, bent right foot which cannot stretch otherwise the pain being worsened, normal urination, frequent fever, spontaneous sweating, and aversion to cold. The tongue coating is thin, greasy, and yellow. The pulse is slippery and rapid."
Rhubarb and Aconite Decoction,Rhei Radix et Rhizoma; Aconiti Lateralis Radix Praeparata; Asari Radix et Rhizoma,"Warms the interior, dissipates cold, promotes defecation, and relieves pain.","This formula is designed for an excess pattern of cold stagnation in the interior. The symptoms are abdominal pain, constipation, rib-side pain, fever, reversal cold of the hands and feet, a white and greasy tongue coating, and a wiry, tight pulse."
Major Yin-Supplementing Pill,Rehmanniae Radix; Testudinis Carapax et Plastrum; Phellodendri Chinensis Cortex; Anemarrhenae Rhizoma,Enriches yin and subdues fire.,"Da Bu Yin Wan is used to treat patterns of yin deficiency with deficiency fire marked by steaming bone fever, night sweat, seminal emission, cough, hemoptysis, vexation, irascibility, pain and redness of the feet and knees, a red tongue with scanty coating, and a rapid, powerful pulse at the chi position."
Minor Pinellia Decoction,Pinelliae Rhizoma; Zingiberis Rhizoma Recens,"Dissolves phlegm, dissipates rheum, harmonizes the stomach, and directs counterflow downward.","Xiao Ban Xia Tang is indicated for vomiting due to phlegm-rheum. The symptoms are vomiting phlegm-drool, lack of thirst, retching, hiccup, indigestion, and normal urination. The coating is white and glossy."
Minor Green Dragon Decoction,Ephedrae Herba; Paeoniae Radix Alba; Asari Radix et Rhizoma; Zingiberis Rhizoma; Glycyrrhizae Radix et Rhizoma; Cinnamomi Ramulus; Pinelliae Rhizoma; Schisandrae Chinensis Fructus,"Releases the exterior, dissipates cold, warms the lung and dissolves rheum (fluid retention).","This formula is indicated for the pattern of exterior cold with interior fluid retention. The symptoms are aversion to cold, fever, absence of sweating, labored breathing, cough, copious clear and thin phlegm, stuffiness in chest, dry retching, difficulty in lying back in the supine position, general body aches, edema of the face and extremities. The tongue coating is white and glossy, and the pulse is superficial."
Minor Center-Fortifying Decoction,Cinnamomi Ramulus; Glycyrrhizae Radix et Rhizoma; Jujubae Fructus; Paeoniae Radix Alba; Zingiberis Rhizoma Recens; Saccharum Granorum,"Warms the center, supplements deficiency, harmonizes the interior, and relaxes spasms.","Deficiency-cold of the middle jiao, disharmony of the liver and spleen, characterized by abdominal spasms and pain which can be lessened by warmth and pressure, fatigue and lack of strength, shortness of breath, palpitations, dysphoria, pale complexion, or sore limbs, vexing heat in the palms, dry throat, a pale tongue with white coating, and a thready, wiry pulse."
Minor Channel-Activating Elixir,Aconiti Radix Cocta; Aconiti Kusnezoffii Radix Cocta; Pheretima; Arisaematis Rhizoma; Olibanum; Myrrha,"Dispels wind and eliminates dampness, dissolves phlegm to unblock the collaterals, and invigorates blood to relieve pain.","1. Bi syndrome due to wind, cold, and dampness characterized by pain, numbness, and spasms of the limbs, body and sinews, dysfunction with bending and stretching the joints, wandering pain, a pale purple tongue body with a white tongue coating, and a deep, wiry or choppy pulse.2. Wind-strike due to dampness, phlegm, and blood stasis obstructing the collaterals characterized by persistent numbness and weakness of the limbs, heavy sensation in the waist and legs, or pains in the legs and arms, etc."
Minor Bupleurum Decoction,Bupleuri Radix; Scutellariae Radix; Ginseng Radix et Rhizoma; Glycyrrhizae Radix et Rhizoma; Pinelliae Rhizoma; Zingiberis Rhizoma Recens; Jujubae Fructus,Harmonizes the shaoyang.,"1. Cold damage entering the shaoyang. The symptoms are alternating chills and fever, fullness and discomfort in the chest and rib-side, no desire to eat or drink, vexation and frequent vomiting, bitter taste in the mouth, dry throat, dizzy vision, a thin white tongue coating, and a wiry pulse. 2. Heat entering the blood chamber (uterus). The symptoms are feminine wind-invasion syndrome, inhibited menstrual flow, periodic alternating chills and fever, malaria, and jaundice when the patient shows signs of a shaoyang pattern."
Minor Chest-Draining Decoction,Coptidis Rhizoma; Pinelliae Rhizoma; Trichosanthis Fructus,"Clears heat and dissolves phlegm, loosens the chest, and dissipates masses.","Xiao Xian Xiong Tang is suitable for pattern of binding phlegm and heat. The symptoms are pi and oppression of the chest and abdomen, painful heart and chest distention, cough with sticky, thick and yellow sputum. The tongue is red with yellow and greasy coating. The pulse is slippery and rapid."
Field Thistle Drink,Rehmanniae Radix; Cirsii Herba; Talcum; Akebiae Caulis; Typhae Pollen; Nodus Nelumbinis Rhizomatis; Lophatheri Herba; Angelicae Sinensis Radix; Gardeniae Fructus; Glycyrrhizae Radix et Rhizoma,"Cools blood and stanches bleeding, promotes urination and relieves strangury.","Blood strangury or bloody urine is due to the accumulation of heat in the lower jiao. This condition is marked by blood in the urine, and frequent painful urination that is hot with an unsmooth stream. The tongue is red and the pulse is rapid."
Tea-Mix and Chuanxiong Powder,Chuanxiong Rhizoma; Schizonepetae Herba; Angelicae Dahuricae Radix; Notopterygii Rhizoma et Radix; Glycyrrhizae Radix et Rhizoma; Asari Radix et Rhizoma; Saposhnikoviae Radix; Menthae Haplocalycis Herba,Scatters wind and relieves pain.,"Chuan Xiong Cha Tiao San is indicated for headaches caused by externally-contracted wind. The symptoms are headache in any part of the head, dizzy vision, and nasal congestion possibly accompanied by aversion to wind and fever. The tongue coating is thin and white, and the pulse is floating."
Five-Peel Powder,Zingiberis Rhizoma Recens; Mori Cortex; Citri Reticulatae Pericarpium; Arecae Pericarpium; Poria,"Promotes urination and relieves edema, rectifies qi and fortifies the spleen.","Wu Pi San is indicated for skin edema resulting from excessive dampness and spleen deficiency causing qi stagnation and water diffusion. The symptoms are general edema, heavy sensation of the body and limbs, fullness and distention of chest and abdomen, dyspnea, dysuria, and gestational edema. The tongue coating is white and greasy, and the pulse is deep and slow."
Five Substances Powder with Poria,Polyporus; Alismatis Rhizoma; Atractylodis Macrocephalae Rhizoma; Poria; Cinnamomi Ramulus,"Promotes urination and percolates dampness, warms yang and promotes qi transformation.","Wu Ling San is indicated for water amassment syndrome due to dysfunction of bladder qi transformation. The symptoms are dysuria, headache with mild fever, thirst and desire to drink, vomiting as soon as drinking, throbbing below the navel, spitting, dizziness, shortness of breath, cough, edema, and diarrhea. The tongue coating is white and the pulse is either floating or floating and rapid."
Six-to-One Powder,Talcum; Glycyrrhizae Radix et Rhizoma,Clears summerheat and drains dampness.,"This formula is indicated for summerheat-dampness. The symptoms are fever with vexation and thirst, inhibited urination, and diarrhea."
Six-Ingredient Rehmannia Pill,Rehmanniae Radix; Corni Fructus; Dioscoreae Rhizoma; Alismatis Rhizoma; Moutan Cortex; Poria,Supplements and nourishes the liver and kidney.,"Liu Wei Di Huang Wan is indicated for liver-kidney yin deficiency. The symptoms are soreness of the waist and knees, dizziness, tinnitus, deafness, night sweat, seminal emission, xiao ke (wasting-thirst), steaming bone fever, feverish feeling in the palms and soles, a dry mouth and throat, loosening of the teeth, heel pain, dribbling of urine, and unclosed fontanel in children. The tongue is red with scanty coating and the pulse is deep, thready, and rapid."
Cimicifuga and Pueraria Decoction,Cimicifugae Rhizoma; Paeoniae Radix Alba; Glycyrrhizae Radix et Rhizoma; Puerariae Lobatae Radix,Releases the flesh and promotes complete eruption of rashes.,"This formula is indicated for the initial stage of measles. Signs and symptoms include rashes unable to break out, body heat, headache, cough, red eyes, tearing, thirst, a red tongue with a thin, dry tongue coating, and a superficial, rapid pulse."
Celestial Emperor Heart-Supplementing Elixir,Ginseng Radix et Rhizoma; Poria; Scrophulariae Radix; Salviae Miltiorrhizae Radix et Rhizoma; Platycodonis Radix; Polygalae Radix; Angelicae Sinensis Radix; Schisandrae Chinensis Fructus; Ophiopogonis Radix; Asparagi Radix; Platycladi Semen; Ziziphi Spinosae Semen; Rehmanniae Radix,"Enriches yin and clears heat, nourishes blood and calms the mind.","Deficiency of yin and insufficiency of blood have lead to the disturbance of the mind. Symptoms include palpitations, vexation, insomnia, mental fatigue, forgetfulness, nocturnal emission, feverish feeling in palms and soles, aphtha, a sore mouth and tongue, and dry stool. The tongue is red with scanty coating, and the pulse is thin and rapid."
Gastrodia and Uncaria Decoction,Gastrodiae Rhizoma; Uncariae Ramulus cum Uncis; Haliotidis Concha; Gardeniae Fructus; Scutellariae Radix; Cyathulae Radix; Eucommiae Cortex; Leonuri Herba; Taxilli Herba; Polygoni Multiflori Caulis; Poria,"Calms the liver and extinguishes wind, clears heat and invigorates blood, supplements and boosts the liver and kidney.","Tian Ma Gou Teng Yin is indicated for patterns of hyperactive liver yang and ascending liver wind. The symptoms are headache, dizziness and vertigo, insomnia with profuse dreaming; or a bitter taste in the mouth, flushed face, a red tongue with a yellow tongue coating, and a wiry or rapid pulse."
Tian Tai Combined Spicebush Root Powder,Linderae Radix; Aucklandiae Radix; Foeniculi Fructus; Citri Reticulatae Pericarpium Viride; Alpiniae Officinarum Rhizoma; Arecae Semen; Toosendan Fructus; Crotonis Fructus,"Moves qi, soothes the liver, disperses cold, and relieves pain.","Tian Tai Wu Yao San is indicated for small intestinal shan qi due to cold congealing and stagnant qi in the liver channel. The symptoms are lesser abdomen pain dragging to testicle (s), a feeling that the testicles are distended and dropped unevenly, or lesser abdomen pain. The tongue is pale with a white coating and the pulse is deep and slow or wiry. This formula is also used for painful menstruation and abdomen mass due to cold congealing and qi stagnation."
Cough-Stopping Powder,Platycodonis Radix; Schizonepetae Herba; Asteris Radix et Rhizoma; Stemonae Radix; Cynanchi Stauntonii Rhizoma et Radix; Glycyrrhizae Radix et Rhizoma; Citri Reticulatae Pericarpium,"Diffuses and benefits the lung qi, disperses wind and relieves cough.","Zhi Sou San is indicated for the pattern of wind pathogens attacking the lung. The symptoms are cough, itchiness in the pharynx, difficulty in coughing up sputum, or mild aversion to wind and fever. The tongue coating is thin and white, and the pulse is superficial and moderate."
Immortal Formula Life-Giving Beverage,Angelicae Dahuricae Radix; Manis Squama; Glycyrrhizae Radix et Rhizoma; Saposhnikoviae Radix; Myrrha; Paeoniae Radix Rubra; Angelicae Sinensis Radix; Olibanum; Fritillariae Cirrhosae Bulbus; Trichosanthis Radix; Gleditsiae Spina; Lonicerae Japonicae Flos; Citri Reticulatae Pericarpium,"Clears heat, resolves toxins, disperses swelling, promotes suppuration, invigorates blood, and relieves pain.","This formula is indicated for yang patterns in the initial stage with sores, abscesses, and ulcers. The symptoms are redness, swelling, and pain in the affected areas, fear of cold with fever, a thin white or yellow tongue coating, and a forceful, rapid pulse."
Solomon's Seal Variant Decoction,Polygonati Odorati Rhizoma; Allii Fistulosi Bulbus; Platycodonis Radix; Cynanchi Atrati Radix et Rhizoma; Sojae Semen Praeparatum; Menthae Haplocalycis Herba; Glycyrrhizae Radix et Rhizoma; Jujubae Fructus,Nourishes yin and releases the exterior.,"Jia Jian Wei Rui Tang is indicated for the pattern of yin deficient with external contraction of wind-heat. The signs and symptoms are headache, fever, slight aversion to wind-cold, absence of or a little bit of sweat, cough, vexation, thirst, dry throat, a red tongue, and a rapid pulse."
"Pinellia, Atractylodes Macrocephala and Gastrodia Decoction",Pinelliae Rhizoma; Gastrodiae Rhizoma; Poria; Citri Expocarpium Rubrum; Atractylodis Macrocephalae Rhizoma; Glycyrrhizae Radix et Rhizoma; Zingiberis Rhizoma Recens; Jujubae Fructus,"Dries dampness and dissolves phlegm, calms the liver and extinguishes wind.","Ban Xia Bai Zhu Tian Ma Tang is designed to treat the pattern of wind-phlegm harassing the upper body. Symptoms include dizziness, headache, pi and oppression in the chest and diaphragm, nausea, and vomiting. The tongue coating is greasy and white. The pulse is wiry and slippery."
Pinellia and Officinal Magnolia Bark Decoction,Pinelliae Rhizoma; Magnoliae Officinalis Cortex; Poria; Zingiberis Rhizoma Recens; Perillae Folium,"Moves qi and dissipates masses, directs counterflow downward and dissolves phlegm.","Ban Xia Hou Po Tang is indicated for plum-stone qi (globus hystericus). The symptoms are fullness and tightness in the chest and diaphragm, coughing, and vomiting. The tongue coating is white and moist or white and glossy. The pulse is wiry and slow or wiry and slippery."
Pinellia Heart-Draining Decoction,Pinelliae Rhizoma; Scutellariae Radix; Zingiberis Rhizoma; Ginseng Radix et Rhizoma; Coptidis Rhizoma; Jujubae Fructus; Glycyrrhizae Radix et Rhizoma,Disperses pi and dissipates masses through the combination of cold and warm medicinals.,"Pi is caused by the binding of cold and heat, marked by stuffiness below the heart, fullness without pain, vomiting, borborygmus, diarrhea, and a slightly yellow, greasy coating."
Right-Restoring Pill,Rehmanniae Radix; Dioscoreae Rhizoma; Corni Fructus; Lycii Fructus; Cuscutae Semen; Cervi Cornu Pantotrichum; Eucommiae Cortex; Cinnamomi Cortex; Angelicae Sinensis Radix; Aconiti Lateralis Radix Praeparata,"Warms and supplements kidney yang, supplements essence, and boosts marrow.","You Gui Wan is intended for patterns of kidney yang insufficiency and ming men fire deficiency marked by mental fatigue and general weakness due to aging or chronic disease, fear of cold, hypothermic limbs, sore loins, impotence, spermatorrhea, infertility, decreased food intake, unformed stools, urinary incontinence, a pale tongue with a white coating, and a deep, delayed pulse."
Four Gentlemen Decoction,Ginseng Radix et Rhizoma; Atractylodis Macrocephalae Rhizoma; Poria; Glycyrrhizae Radix et Rhizoma,Boosts qi and fortifies the spleen.,"Si Jun Zi Tang is indicated for patterns of spleen-stomach qi deficiency. Clinical manifestations include a pale, lusterless facial complexion, a faint, low voice, shortness of breath, and thin, unformed stool. The tongue is pale with a white coating. The pulse is deficient and weak."
Four Substances Decoction,Angelicae Sinensis Radix; Chuanxiong Rhizoma; Paeoniae Radix Alba; Rehmanniae Radix,Supplements and regulates the blood.,"Si Wu Tang is used to treat patterns of ying-blood deficiency and stagnation manifesting dizziness, blurred vision, palpitations, insomnia, a lusterless complexion, menstrual irregularities, oligomenorrhea or amenorrhea, abdominal pain around the navel or mass (s) formed within the abdomen, a pale tongue, pale lips and nails, a thready, wiry pulse or thready, choppy pulse."
Four Spirits Pill,Myristicae Semen; Psoraleae Fructus; Schisandrae Chinensis Fructus; Euodiae Fructus; Zingiberis Rhizoma Recens; Jujubae Fructus,"Warms the spleen and kidney, consolidates the intestines and arrests diarrhea.","Si Shen Wan is used to treat kidney diarrhea due to yang deficiency of the spleen and kidney. Chief symptoms include fifth-watch (diarrhea at dawn) diarrhea, reluctance to eat or drink, poor digestion and absorption, chronic unremitting diarrhea, abdominal pain, lumbar pain, cold limbs, mental fatigue, and lack of strength. Usually, the tongue is pale with a white and thin coating. The pulse is deep, slow and weak."
Frigid Extremities Powder,Glycyrrhizae Radix et Rhizoma; Aurantii Fructus Immaturus; Bupleuri Radix; Paeoniae Radix Alba,"Moves qi, resolves the constraint, soothes the liver, and rectifies the spleen.","1. Pattern of yang constraint and reversal counterflow cold of the limbs, marked by a lack of warmth in the extremities, abdominal pain, diarrhea, dysentery tenesmus, and a wiry pulse.2. Pattern of disharmony of the liver and spleen, marked by distention and fullness in the rib-side, pain in the stomach cavity and abdomen, and a wiry pulse."
Frigid Extremities Decoction,Glycyrrhizae Radix et Rhizoma; Zingiberis Rhizoma; Aconiti Lateralis Radix Praeparata,Restores yang to rescue from counterflow.,"Reversal counterflow cold of the four limbs is due to heart and kidney yang deficiency. This pattern is marked by reversal counterflow cold of the four limbs, aversion to cold, lying in bed curled up, debilitated spirit, desire to sleep, pale complexion, stomach pain, diarrhea, vomiting, no thirst, a white, slippery tongue coating, and a feeble, thin pulse."
Sudden Smile Powder,Faeces Trogopterori; Typhae Pollen,"Invigorates blood and dissolves stasis, dissipates masses and relieves pain.","Shi Xiao San is indicated for pain due to blood stasis such as stabbing pain in the chest and abdomen, inhibited lochia, irregular menstruation, and acute pain in the lower abdomen."
Left Metal Pill,Coptidis Rhizoma; Euodiae Fructus,"Clears and drains liver fire, directs counterflow downward, and arrests vomiting.","This formula is indicated for liver fire invading the stomach, which causes burning pain in the rib-side, vomiting and bitter taste in the mouth, epigastric upset and acid swallowing, a red tongue with yellow coating, and a wiry, rapid pulse."
Left-Restoring Pill,Rehmanniae Radix; Dioscoreae Rhizoma; Lycii Fructus; Corni Fructus; Cyathulae Radix; Cervi Cornu Pantotrichum; Testudinis Carapax et Plastrum; Cuscutae Semen,"Enriches kidney yin, supplements essence, and boosts marrow.","Zuo Gui Wan is used to treat patterns of true yin deficiency marked by dizziness, blurred vision, soreness of the waist and knees, seminal emission, efflux diarrhea, spontaneous sweating, night sweat, a dry mouth and tongue, a red tongue with a scanty coating, and a thready pulse."
Stomach-Calming Powder,Atractylodis Rhizoma; Magnoliae Officinalis Cortex; Citri Reticulatae Pericarpium; Glycyrrhizae Radix et Rhizoma,"Dries dampness and activates the spleen, moves qi and harmonizes the stomach.","This is a pattern caused by dampness accumulation in the spleen and stomach. Spleen pertains to the earth of taiyin, is localized in middle jiao, and governs transportation and transformation. It is adverse to humidity and prefers dryness. When dampness accumulation blocks the middle jiao, the result is failure of transportation and transformation marked by abdominal distension and fullness, poor appetite and tastelessness. Additionally, the stomach qi might fail to descend. Counterflow of the stomach qi leads to nausea, vomiting, belching, and acid swallowing. Dampness is a yin pathogen that is heavy and lingering by its nature. Therefore, dampness accumulation in the body leads to heavy sensation in the limbs, lassitude, and somnolence. Dampness entering the intestine results in diarrhea. The therapeutic principles are to dry dampness and to activate the spleen as the primary function and move qi and harmonize the stomach as the secondary function. The ability to remove dampness is increased when qi moves smoothly."
Bupleurum Correction Beverage,Bupleuri Radix; Saposhnikoviae Radix; Citri Reticulatae Pericarpium; Paeoniae Radix Alba; Glycyrrhizae Radix et Rhizoma; Zingiberis Rhizoma Recens,Releases the exterior and disperses cold.,"Zheng Chai Hu Yin is indicated for a mild pattern of externally contracted wind-cold. The symptoms are mild aversion to wind-cold, fever, absence of sweating, headache, general body pain, a thin and white tongue coating and a superficial pulse."
Jade Lady Decoction,Gypsum Fibrosum; Rehmanniae Radix; Ophiopogonis Radix; Anemarrhenae Rhizoma; Achyranthis Bidentatae Radix,Clears stomach heat and nourishes kidney yin.,"This formula is indicated for stomach heat and yin deficiency. The symptoms are toothache, headache, loose teeth, gingival bleeding, vexing heat and thirst, a red tongue with a dry yellow coating, xiao ke, and swift digestion with rapid hungering."
Jade Wind-Barrier Powder,Saposhnikoviae Radix; Astragali Radix; Atractylodis Macrocephalae Rhizoma,"Boosts qi, consolidates the exterior, and arrests sweating.","Yu Ping Feng San is indicated for patterns of spontaneous sweating due to exterior deficiency. Sweating, aversion to wind, a pale complexion, a pale tongue with a thin and white coating, and a floating, deficient pulse mark the clinical manifestations. It is also used to treat patients with a deficient constitution and deficient wei qi that is vulnerable to external wind pathogens."
True Jade Powder,Arisaematis Rhizoma; Saposhnikoviae Radix; Angelicae Dahuricae Radix; Gastrodiae Rhizoma; Notopterygii Rhizoma et Radix; Typhonii Rhizoma,"Dispels wind and dissolves phlegm, relieves spasms and arrests convulsion.","Yu Zhen San is indicated for tetanus. The symptoms are lockjaw, tightly-closed mouth and lips, stiff body, opisthotonus, and a wiry, tight pulse; there could even be gnashed teeth and a contracted tongue."
