Mori Ramulus,Stems and woods,The dried tender branches of Morus alba L.(Moraceae),"Primarily produced in the Chinese provinces of Anhui, Jiangsu, Zhejiang, Hunan, Sichuan.","Bitter, neutral","Dispels wind, promotes joint, moves water and qi. Apply to wind-damp impediment, spasm of limbs, beriberi and edema, wind-itching of skin.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00146.jpg,Wind-damp-dispelling Medicinals
Platycodonis Radix,Roots and rhizomes,The dried root of Platycodon grandiflorum (Jacq.) A. DC.(Campanulaceae),Primarily produced in northern and northeastern China.,"Bitter, acrid; neutral","Diffuses the lung, eliminates phlegm, promotes throat, expels pus, promotes five internal organs, supplements five qi, supplements five taxations, nourishes qi. Apply to cough excessive phlegm, swelling pharyngalgia, pulmonary abscess and pyemesis, chest fullness and hypochondrium pain, diarrhea with pain, mouth and tongue sore, red eye and swelling pain, retention of urine.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00076.jpg,"Phlegm-transforming, Cough-relieving, and Asthma-relieving Medicinals"
Schisandrae Chinensis Fructus,Fruits and seeds,The dried mature fruit of Schisandra chinensis (Turcz.) Baill.(Magnoliaceae),Primarily produced in the northeastern regions of China.,"Sour, sweet, warm","Astringes and secures, boosts qi, engenders fluid, supplements kidney, calms heart. Apply to lingering cough and dyspnea due to deficiency, nocturnal emissions and spermatorrhoea, anischuria and urinary frequency, lingering diarrhea, spontaneous perspiration, night sweat, hydrodipsia due to depletion of body fluids, shortness of breath and feeble pulse, feverish dysphoria and diabetes, palpitation and insomnia.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00211.jpg,Astringent Medicinals
Asini Corii Colla,Zoological substances,"The solid gelati made from the skin of Equus asinus L, via a process of boiling and concentrating. (Equidae).","Primarily produced in the Dong'e region of Shandong, as well as Henan, Jiangsu, and Zhejiang.","Sweet, neutral","Supplements blood, stops blood, enriches yin, moistens dryness.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00373.jpg,Tonifying Medicinals
Mume Fructus,Fruits and seeds,"The dried nearly mature fruit of Prunus mume (Sieh.) Sieb. et Zucc.(Rosaceae). Harvested in summer when the fruit is nearly ripe, dried in low temperature and then covered until it turned black.","Primarily produced in the Chinese provinces of Shanxi, Henan, Hebei, Shandong.","Sour, astringent, neutral","Astringes lung, astringes intestines, engenders fluid, calms worms. Apply to pulmondeficiency due to long term cough, lingering dysentery and diarrhea, asthenic fever and diabetes, vomiting and abdominal pain due to ascariasis, ascariasis of creeping figary tract.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00240.jpg,Astringent Medicinals
Fritillariae Cirrhosae Bulbus,Roots and rhizomes,The dried bulb of Fritillaria cirrhosa D. Don (Liliaceae).,"Primarily produced in the Chinese provinces of Sichuan, Yunnan, Qinghai, Tibet.","Sweet, bitter; slightly cold.","Clears heat, moistens the lung, transforms phlegm, relieves cough. Apply to dry cough due to lung heat, cough with rare phlegm, coughing with asthma due to consumptive disease and yin deficiency, cough phlegm with blood.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00043.jpg,"Phlegm-transforming, Cough-relieving, and Asthma-relieving Medicinals"
Fritillariae Ussuriensis Bulbus,Roots and rhizomes,The dried bulb of Fritillaria ussuriensis Maxim.(Liliaceae),Primarily produced in the areas of northeastern China.,"Bitter, sweet, slightly cold","Clears heat, moistens lung, transforms phlegm, stops cough. Apply to dry cough sue to lung heat, dry cough without phlegm, cough due to yin deficiency, cough with bloody phlegm, scrofula, acute mastitis.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00090.jpg,Heat-clearing Medicinals
Fritillariae Thunbergii Bulbus,Roots and rhizomes,The dried bulb of Fritillaria thunbergii Miq.(Liliaceae),"Primarily produced in the Chinese provinces of Zhejiang, Jiangsu, Anhui, Hunan.","Bitter, cold","Clears heat, transforms phlegm, disperses bind, resolves toxin. Apply to wind-heat cough, lung abscess and throat impediment, scrofula, swelling and pain of sore and ulcer.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00124.jpg,"Phlegm-transforming, Cough-relieving, and Asthma-relieving Medicinals"
Papaveris Pericarpium,Fruits and seeds,The dried pericarp of mature fruit of Papaver somniferum L. (Papaceraceae),Cultivated in areas that are subjected to government restrictions.,"Sour, astringent, neutral, toxic.","Constrains the lung, astringes intestines, stops pain. Apply to chronic cough, chronial diarrhea, rectal prolapse, abdominal pain.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00218.jpg,Astringent Medicinals
Notopterygii Rhizoma et Radix,Roots and rhizomes,The dried root and rhizome of Notopterygium incisum Ting ex H. T. Chang. (Apiaceae),"Primarily produced in the Chinese provinces of Yunnan, Sichuan, Qinghai, Gansu.","Acrid, bitter, warm","Disperses exterior cold, dispels wind damp, promotes joints, stops pain. Apply to exterior wind cold, headache without sweating, wind-cold and damp impediment, wind edema, sore and ulcer swelling toxin.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00092.jpg,Exterior-releasing Medicinals
Saposhnikoviae Radix,Roots and rhizomes,The dried root of Saposhnikovia divaricate (Turcz.) Schischk.(Apiaceae).,Primarily produced in eastern Inner Mongolia.,"Acrid, sweet; slightly warm.","Dispels wind to release the exterior pattern, dispels dampness and relieve pain, arrests convulsions. Apply to exterior syndrome due to wind-cold, headache, dizziness, rigid neck, rheumatic arthralgia with wind-cold, joint pain and sour, convulsion of limbs, tetanus.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00054.jpg,Exterior-releasing Medicinals
Atractylodis Macrocephalae Rhizoma,Roots and rhizomes,The dried rhizome of Atractylodes macrocephala Koidz. (Compositae).,"Primarily produced in the Chinese provinces of Zhejiang, Hunan, Hubei, Anhui.","Bitter, sweet; warm.","Fortifies the spleen, boosts qi, dries dampness, promotes urination, stops sweating, calms the fetus. Apply to deficiency-weakness of spleen, anorexia, and abdominal distension, and loose tools, dizziness induced by phlegm and retained fluids, edema, spontaneous perspiration, restless fetal movement.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00032.jpg,Tonifying Medicinals
Atractylodis Rhizoma,Roots and rhizomes,The dried rhizome of Atractylodes lancea (Thunb.) DC. (Asteraceae),"Primarily produced in the Chinese provinces of Zhejiang, Hubei, Jiangsu, Henan.","Bitter, acrid; warm","Dries dampness, fortifies the spleen, dispels wind, disperses cold, and brightens the eyes. Chest congestion and abdominal distention, diarrhea and edema, beriberi and paralysis, wind and dampness impediment, wind-cold, caecitas nocturna.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00040.jpg,Dampness-transforming Medicinals
Asari Radix et Rhizoma,Roots and rhizomes,"The dried root and rhizome of Asarum heterotropoides Fr. Schmidt var. mandshuricum (Maxim.) Kitag., Asarum sieboldii Miq., Asarum sieboldii Miq.var. seoulense Nakai.(Aristolochiaceae)","Primarily produced in northeastern China and Jiangsu, Hubei.","Acrid, warm","Resolvers exterior, disperses cold, dispels wind, stops pain, warms lung, transforms fluids, frees nose. Apply to exterior disease induced by pathogenic wind-cold, headache, toothache, wind-damp impediment, dyspnea with cough due to phlegm and retained fluids, nasal obstruction, rhinorrhea with turbid discharge, mouth sore.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00112.jpg,Exterior-releasing Medicinals
Chuanxiong Rhizoma,Roots and rhizomes,The dried rhizomes of Ligusticum chuanxiong Hort.(Apiaceae).,"Primarily produced in the Chinese provinces of Sichuan, Jiangxi, Hunan, Hubei.",Acrid; warm.,"Invigorates the blood, eliminates stasis, moves qi, opens stagnation, dispels wind, relieves pain. Apply to chest impediment and heartache, chest pain, swollen pain of falls wound, irregular menses, amenorrhea, dysmenorrheal, abdominal mass and pain, headache, wind-damp impediment.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00047.jpg,Blood-activating and Stasis-removing Medicinals
Angelicae Dahuricae Radix,Roots and rhizomes,The dried root of Angelica dahurica (Fisch. ex Hoffm.) Benth. et Hook. f. var. formosana (Boiss.) Shan et Yuan. (Apiaceae).,"Primarily produced in Chinese provinces of Zhejiang, Sichuan, Heilongjiang, Jilin, Liaoning.",Acrid; warm.,"Removing rheumatism, activate blood, clearing pus, engendering skin, relieving pain. Apply to headache, toothache, persistent turbid nasal discharge, anal fistula due to intestine wind, red and white leucorrhea, ulcer and sore, skin itch.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00031.jpg,Exterior-releasing Medicinals
Scutellariae Radix,Roots and rhizomes,The dried root of Scutellaria baicalensis Georgi.(Fabaceae).,"Primarily produced in the Chinese provinces of Inner Mongolia, Shanxi, Hebei, Liaoning.",Bitter; cold.,"Clears heat, dries dampness, drains fire, resolves toxin, stops bleeding, calms fetus, reduces blood pressure. Apply to damp-warm diseases, chest retention and vomiting due to summer-warm, retention and fullness due to damp and heat, diarrhea, jaundice, cough with lung heat, polydipsia with high fever, hematemesis and non-traumatic hemorrhage due to blood heat, abscess and sore toxin, fetal movement.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00072.jpg,Heat-clearing Medicinals
Glycyrrhizae Radix et Rhizoma,Roots and rhizomes,The dried root and rhizome of Glycyrrhiza uralensis Fisch.(Fabaceae).,"Primarily produced in the Chinese provinces of Inner Mongolia, Shanxi, Gansu, Xinjiang, Ningxia.",Sweet; neutral,"Supplements the spleen, boosts qi, clears heat, resolves toxin, dispels phlegm, relieves cough, relaxes tension, relieves pain, harmonizes the nature of other medicinals.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00129.jpg,Tonifying Medicinals
Phellodendri Chinensis Cortex,Tree barks and root barks,"The dried tree barks of Phellodendron chinense Schneid.(Rutaceae), also called ‘Chuan huang bai’.","Primarily produced in the Chinese provinces of Sichuan, Chongqing, Guizhou.",Bitter; cold.,"Clears heat, dried dampness, drains fire, eliminates steaming, resolves toxin, treats sore. Apply to dysentery due to damp-heat pathogen, jaundice, leukorrhea, pyretic stranguria, beriberi, osteopyrexia, night sweat, emissions, burns and scalds and swelling, eczema and pruritus.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00346.jpg,Heat-clearing Medicinals
Pinelliae Rhizoma,Roots and rhizomes,The dried tuberous rhizome of Pinellia ternate (Thunb.) Breit. (Araceae).,"Primarily produced in Chinese provinces of Gansu, Hubei, Sichuan, Anhui, Jiangsu, Henan, Zhejiang.",Acrid; warm; toxic.,"Dries dampness, transforms phlegm, downbears counterflow, relieves vomiting, disperses focal distention, dissipates binds. Apply to damp-phlegm and cold-phlegm, cough with much phlegm, phlegm-fluid retention, palpitations, wind-phlegm and dizziness, phlegm syncope and headache, vomiting and stomach reflux, gastric stuffiness, plum-pit-qi; externally used for painful and swollen phlegm nodes.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00132.jpg,"Phlegm-transforming, Cough-relieving, and Asthma-relieving Medicinals"
Poria,Seaweeds and fungi,The dried sclerotium of Poria cocos (Schw.) Wolf (Polyporaceae),"Primarily produced in the Chinese provinces of Anhui, Jiangxi, Jiangsu, Zhejiang.","Sweet, tasteless; neutral","Promotes urination, leaches out dampness, fortifies the spleen and stomach, calms spirit. Apply to dysuria, edema, phlegm and retained fluid and cough, vomiting, less intake due to deficiency of spleen, diarrhea, and fright and nervous, insomnia and amnesia, spermatorrhea and gonorrhea.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00356.jpg,Water-draining and Dampness-permeating Medicinals
Plantaginis Semen,Fruits and seeds,The dried mature seed of Plantago asiatica L. or Plantago depressa Willd. (Plantaginaceae).,Produced in areas all around China.,"Sweet, tasteless; slightly cold.","Clears heat, promotes urination, percolates dampness, stops diarrhea, brightens the eyes, dispels phlegm. Apply to difficulty in micturition, whitish and turbid urine, edema fullness, leukorrhea, conjunctival congestion and eye screens, cough and panting due to heat and phlegm.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00163.jpg,Water-draining and Dampness-permeating Medicinals
Dianthi Herba,Whole herbs,The dried aerial portion of Dianthus chinensis L. and Dianthus superbus L.(Caryophyllaceae),"Primarily produced in the Chinese provinces of Henan, Hebei, Northeast area.","Bitter, cold","Promotes urination, frees strangury, breaks blood, frees channels. apply to Pyretic stranguria, bloody stranguria, stranguria caused by urinary stone, difficulty in micturition, dripping and pain during micturition induced by pyretic stranguria.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00282.jpg,Water-draining and Dampness-permeating Medicinals
Talcum,Minerals,"The mineral talcum, primarily composed of [Mg3 (Si4O10) (OH)2].","Primarily produced in the Chinese provinces of Shandong, Jiangsu, Shaanxi.","Sweet, tasteless; cold.","Promotes urination, frees strangury, clears heat, resolves summerheat, dispels dampness, closes sores. Apply to heat strangury, stony strangury, hot and astringent pain during urination, polydipsia due to summer-dampness, diarrhea due to damp heat, externally used to eczema, heat rash.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00401.jpg,Water-draining and Dampness-permeating Medicinals
Gardeniae Fructus,Fruits and seeds,The dried mature fruit of Gardenia jasminoides Ellis. (Rubiaceae),"Primarily produced in the Chinese provinces of Hubei, Hunan, Jiangxi, Fujian.","Bitter, cold.","Drains fire, eliminates vexation, clears heat, promotes urination, cools blood, resolves toxin. Apply to deficient restlessness due to pyreticosis, conjunctival congestion due to liver fire, headache, jaundice due to damp-heat, strangury, hematodiarrhoea, hematuria, mouth and tongue sore, swelling pain of sore and ulcer, swelling pains caused by sprains.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00224.jpg,Heat-clearing Medicinals
Akebiae Caulis,Stems and woods,"The dried vine of Akebia quinata (Thunb.) Decne., Akebia trifoliate (Thunb.) Koidz., and Akebia trifoliate (Thunb.) Koidz. var. australis (Diels) Rehd.(Lardiazabalaceae)",Primarily produced in the east of China.,"Bitter, slightly cold","Clears heat, promotes urination, invigorates blood, frees channels. Apply to dark urine, edema, vexation and heat in chest, throat pain, mouth and tongue sore, wind-damp impediment, insufficient milk, amenorrhea, dysmenorrheal.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00143.jpg,Water-draining and Dampness-permeating Medicinals
Rhei Radix et Rhizoma,Roots and rhizomes,"The dried root and rhizome of Rheum palmatum L. or Rheum tanguticum Maxim. ex Balf, or Rheum officinale Baill. (Polygonaceae).","Primarily produced in the Chinese provinces of Gansu, Qinghai, Tibet, Sichuan.","Bitter, cold.","Relieves stagnation, clears dampn-heat, reduces fire, cools blood, eliminates stasis, relieves toxin. Apply to constipation induced by sthenic fever, heat and distention and full of chest, damp-heat diarrhea, jaundice, strangury, edema and sbdominal fullness, difficulty of urination, conjunctival congestion, swelling pain of throat, sor of mouth and tongue, vomiting due to heat stomach, apostaxis, cough with blood, epistaxis, hematochezia, hematuria, blood stasis, amenorrhea, postpartum stasis and pain, abdominal mass accumulation, trsumatic injury, carbuncle and ulcer due to heat toxin, erysipelas, empyrosis.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00006.jpg,Purgative Medicinals
Paeoniae Radix Alba,Roots and rhizomes,The dried root of Paeonia lactiflora Pall. (Ranunculaceae).,"Primarily produced in Chinese provinces of Anhui, Sichuan, Zhejiang.","Bitter, sour, slightly cold.","Nourishes the blood, regulates menstruation, calms the liver, relieve pain, astringes yin, stops sweating. Apply to thoracic, abdominal and costal pains, abdominal pain due to dysentery, spontaneous perspiration and night sweat, fever with yin deficiency, irregular menstrual periods, metrorrhagia and metrostaxis, leukorrhea.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00026.jpg,Tonifying Medicinals
Cirsii Japonici Herba,Whole herbs,The dried aerial portion and root of Cirsium japonicum Fisch. ex DC. (Asteraceae).,"Primarily produced in the Chinese provinces of Jiangsu, Zhejiang, Sichuan.","Sweet, bitter; cool.","Cools the blood, stops bleeding, dispels stasis and disperses swelling. Apply to Hematemesis, non-traumatic hemorrhage, hematuria, bloody stranguria, metrorrhagia, vaginal discharge, intestine wind, acute appendicitis, swelling toxin of carbuncle and sore, furuncle and sore.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00265.jpg,Hemostatic Medicinals
Cirsii Herba,Whole herbs,The dried aerial portion of Cirsium setosum (Willd.) MB.(Asteraceae),Produced in most areas of China.,"Sweet, bitter, cool.","Cools blood, stops bleeding, dispels stasis, eliminates swelling. Apply to non-traumatic hemorrhage, hematemesis, hematuria, hemafecia, metrorrhagia and metrostaxia. Hemorrhage due to trauma, anthracia and sores.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00266.jpg,Hemostatic Medicinals
Nelumbinis Folium,Leaves,The dried leaves of Nelumbo nucifera Gaertn.(Nymphaeaceae),"Primarily produced in the Chinese provinces of Fujian, Jiangsu, Hunan, Hubei.",Bitter; neutral.,"Clears heat, resolves summer heat, sending up the lucid yang, cools blood, stops blood. Apply to constant thirst due to summer hygrosis, diarrhea due to summer hygrosis, diarrhea due to deficiency of spleen, haematemesis and epistaxis due to blood-heat, hematochezia and metrorrhagia and metrostaxis.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00329.jpg,Heat-clearing Medicinals
Platycladi Cacumen,Leaves,The dried branch tips and leaves of Platycladus orientalis (L.) Franco (Cupressaceae).,Produced in most areas in China.,"Bitter, astringent; cold.","Cools the blood, stops bleeding, eliminates wind-dampness, disperses swollen toxin. Apply to hematemesis and non-traumatic hemorrhage, empsyxis, hematuria, hemafecia, intestine wind, metrorrhagia, wind-damp impedition, bacillary dysentery, hypertension, cough, erysipelas, mumps, empyrosis.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00323.jpg,Hemostatic Medicinals
Imperatae Rhizoma,Roots and rhizomes,The dried rhizome of Imperata cylindrical (Linn.) P. Beauv. (Gramineae).,"Primarily produced in northern Chinese provinces, including Henan, Liaoning, Hebei, Shaanxi, Shandong, Shanxi, and Xinjiang.","Sweet, cold.","Cools the blood, stops bleeding, clears heat, promotes urination. Applied to pyreticosis and dipsesis, hematemesis, non-traumatic hemorrhage, dyspnea and coughing due to lung-heat, vomiting and hiccups caused by gastric heat, stramgutia, and difficulty in micturition, edema, and jaundice.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00024.jpg,Hemostatic Medicinals
Rubiae Radix et Rhizoma,Roots and rhizomes,The dried root and rhizome of Rubia cordifolia L. (Rubiaceae),"Primarily produced in the Chinese provinces of Henan, Shaanxi, Shanxi.","Bitter, cold.","Cools blood, stops blood, eliminates stasis, frees channels, calms cough, eliminates phlegm. Apply to hematemesis, non-traumatic hemorrhage, metrorrhagia and metrostaxis, traumatic bleeding, menostasia and stagnation, joint impediment, injury with swelling and pain. Modern study proved: apply to hemorrhagic disease, chronic bronchitis, chronic diarrhea, rheumatoid arthritis, soft tissue injury, and leucopenia.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00091.jpg,Hemostatic Medicinals
Moutan Cortex,Tree barks and root barks,The dried root bark of Paeonia suffruticosa Andr.(Ranunculaceae),"Primarily produced in the Chinese provinces of Sichuan, Anhui, Henan, Shandong.","Bitter, acrid, slightly cold.","Clears heat, cools blood, invigorates blood, disperses stasis. Apply to Heat entering into blood circulation, eruptions, non-traumatic hemorrhage and hemafecia, fever due to heat hidden in yin of later stage of febrile diseases, yin deficiency and bone steaming and hot flash, blood stagnation and abdominal mass, dysmenorrheal, abscess and sore swelling pain, injuries due to falls and toil, wind-damp heat impediment.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00349.jpg,Heat-clearing Medicinals
Trachycarpi Petiolus,Leaves,The dried petiole of Trachycarpus fortune (Hook.) H. Wendl.(Arecaceae),"Primarily produced in the Chinese provinces of Sichuan, Yunnan, Guizhou, Hunan, Hubei, Shaanxi.","Bitter, astringent, neutral.","Astringes to stop bleeding. Apply to hematemesis, non-traumatic hemorrhage, hematuria, hemafecia, metrorrhagia and metrostaxia.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00339.jpg,Exterior-releasing Medicinals
Genkwa Flos,Flowers,The dried flower bud of Daphne genkwa Sieb. et Zucc.(Thymelaeaceae),"Primarily produced in the Chinese provinces of Shandong, Jiangsu, Anhui.","Sweet, bitter, warm, toxic.","Drains water, expels rheum, resolves toxin, kills worms. Apply to edema, chest and abdomen dropsy, phlegm rheum accumulation, inverse qi with cough and panting, difficulty in urination and defecation, externally use to furuncles and ulcers and bald sore, chilblain. Root bark: eliminates swelling, resolve toxin, invigorates blood, and relieves pain. Apply to acute mastitis, Carbuncle furuncle swelling toxin, lymph node tuberculosis, ascites, rheumatic pain, toothache, injury from falls.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00317.jpg,Purgative Medicinals
Kansui Radix,Roots and rhizomes,The dried tuberous root of Euphorbia kansui T. N. Liou ex T. P. Wang (Euphorbiaceae).,"Primarily produced in the Chinese provinces of Ningxia, Shaanxi, Shanxi, Henan.",Bitter; cold; toxic.,"Drains water, expels rheum, removes swelling, disperses stagnation. Apply to edema, tumescence, dropsy in thoracic and abdominal cavities, phlegm and retained fluid, shortness of breath due to adverse rising of qi, unsmooth urine and stool, externally used to swelling carbuncle and sore.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00060.jpg,Purgative Medicinals
Euphorbiae Pekinensis Radix,Roots and rhizomes,The dried root of Euphorbia pekinensis Rupr.(Euphorbiaceae),"Primarily produced in the Chinese provinces of Jiangsu, Shanxi, Hubei.",Bitter; cold; toxic,"Drains water, expels rheum. Apply to edema and tumescence, dropsy in thoracic and abdominal cavities, phlegm and retained fluid, shortness of breath due to adverse rising of qi, unsmooth urine and stool.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00077.jpg,Purgative Medicinals
